Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
45E1131,431488,430106,2,5/14/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,27
45F0472,428384,434053,2,5/15/2017,1005,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,31
45F0621,431966,435835,2,5/15/2017,1120,B6159,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,54
45F0652,423341,433944,2,5/15/2017,1100,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42
45F1474,434849,437033,4,5/15/2017,1810,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,43
45F1645,426437,433743,1,5/15/2017,1705,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,49
45F1732,428580,427725,1,5/15/2017,2025,A653,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,21
45G0221,443587,431686,2,5/16/2017,0718,A63,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,23
45G0287,430620,432640,1,5/16/2017,0820,A653,Wet/Damp,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,12
45G0308,429857,435713,2,5/16/2017,0838,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Driver or rider,Slight,Male,24
45G0355,425304,432987,1,5/16/2017,0912,B6154,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Male,67
45G0548,415248,442965,1,5/16/2017,1100,U,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Driver or rider,Slight,Male,27
45G1172,427222,431825,4,5/16/2017,1600,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49
45G1172,427222,431825,4,5/16/2017,1600,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,54
45G1304,429450,433779,2,5/16/2017,1650,A58,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,54
45H0170,440464,446324,2,5/17/2017,0330,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,58
45H0488,426788,432075,1,5/17/2017,1033,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Pedestrian,Slight,Male,33
45H1132,429944,427021,2,5/17/2017,1554,A654,Wet/Damp,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,33
45H1184,430345,427488,2,5/17/2017,1615,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,21
45H1215,428527,429636,2,5/17/2017,1630,A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,52
45H1324,425106,434213,1,5/17/2017,1719,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Pedestrian,Serious,Female,14
45H1415,427655,436653,2,5/17/2017,1800,A660,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cycle,Driver or rider,Slight,Male,37
45H1457,425594,437040,2,5/17/2017,1825,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,26
45H1553,431935,430560,1,5/17/2017,1925,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Female,19
45H1553,431935,430560,1,5/17/2017,1925,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Male,20
45H1553,431935,430560,1,5/17/2017,1925,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,17
45H1553,431935,430560,1,5/17/2017,1925,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,17
45H1553,431935,430560,1,5/17/2017,1925,A639,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,19
45I0197,425031,428023,2,5/18/2017,0610,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,58
45I0197,425031,428023,2,5/18/2017,0610,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,26
45I0216,428742,432714,2,5/18/2017,0630,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,40
45I0596,433047,432360,2,5/18/2017,1030,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,28
45I0596,433047,432360,2,5/18/2017,1030,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,65
45I1026,428930,436436,2,5/18/2017,1454,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,84
45I1082,431896,434915,1,5/18/2017,1520,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Pedestrian,Serious,Female,7
45I1118,433168,435237,2,5/18/2017,1535,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,25
45I1472,434841,428545,1,5/18/2017,1817,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Pedestrian,Slight,Male,37
45I1909,426235,426287,2,5/18/2017,2040,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,42
45I2021,433636,427664,1,5/18/2017,2257,A654,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Male,26
45I2093,430781,433822,2,5/18/2017,2345,A61,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,27
45J0243,425413,440393,2,5/19/2017,0654,A660,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,48
45J1201,427437,435934,1,5/19/2017,0005,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,20
45K0920,424140,430432,1,5/20/2017,1330,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Serious,Female,43
45K0920,424140,430432,1,5/20/2017,1330,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Serious,Female,43
45K1083,427835,435808,2,5/20/2017,0715,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,22
45K1267,436157,434595,1,5/20/2017,1510,A6120,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,78
45L0600,439772,433152,2,5/21/2017,1106,A642,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,22
45L0924,436506,441867,2,5/21/2017,1414,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,69
45L0924,436506,441867,2,5/21/2017,1414,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,60
45L1430,432791,434406,2,5/21/2017,1825,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,19
45M0224,435817,425912,2,5/22/2017,1925,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,38
45M0390,430020,434076,2,5/20/2017,1315,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Serious,Male,81
45M1221,431701,435413,2,5/22/2017,1555,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,42
45M1221,431701,435413,2,5/22/2017,1555,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,14
45M1837,430745,434286,2,5/22/2017,1705,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,20
45N0368,428011,426425,3,5/23/2017,0848,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,39
45N0368,428011,426425,3,5/23/2017,0848,M62,Dry,Daylight: Street lights present,Fine without high winds,CarTaxi/Private hire car,Driver or rider,Serious,Male,33
45N0408,430707,439089,2,5/23/2017,0917,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,25
45N0516,429150,431792,2,5/23/2017,1011,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Serious,Male,50
45N1476,427513,436959,2,5/23/2017,1730,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,72
45N1570,431842,436072,3,5/23/2017,1815,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,40
45O0350,429468,428153,2,5/24/2017,0812,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,44
45O0442,424215,433980,2,5/24/2017,0920,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54
45O0442,424215,433980,2,5/24/2017,0920,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,18
45O1070,428136,426389,2,5/24/2017,1500,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26
45O1073,429930,433534,2,5/24/2017,1503,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,68
45O1073,429930,433534,2,5/24/2017,1503,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,25
45O1503,428524,434281,2,5/24/2017,1835,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Female,22
45O1503,428524,434281,2,5/24/2017,1835,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,22
45O1777,426848,438028,2,5/24/2017,2030,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,30
45P0365,426647,433494,2,5/25/2017,0839,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Male,18
45P1167,429771,436620,1,5/25/2017,1531,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,12
45P1492,436377,425945,2,5/25/2017,1745,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,45
45P1535,431621,436143,2,5/25/2017,1805,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,1
45P1601,435891,428211,3,5/25/2017,1700,A654,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,59
45P1837,422954,437695,2,5/25/2017,2000,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,30
45P2000,418963,441740,2,5/25/2017,2110,B6153,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,18
45Q0712,430432,435055,3,5/26/2017,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,43
45Q0788,429584,436660,1,5/26/2017,1245,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,29
45Q1462,435221,434839,1,5/26/2017,1721,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle0,Pedestrian,Slight,Male,12
45Q2338,429309,435030,1,5/26/2017,2322,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious,Male,19
45R2353,422238,436375,1,5/27/2017,2300,A657,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Female,65
45S0352,430701,433454,1,5/28/2017,0450,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Pedestrian,Slight,Male,27
45S1082,430582,432953,1,5/28/2017,1720,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,18
45S1310,425407,440383,2,5/28/2017,1310,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,49
45S1991,435096,436574,1,5/28/2017,2230,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,48
45T0976,428465,435252,2,5/26/2017,1345,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,21
45U0281,429132,432674,2,5/30/2017,0750,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,34
45U0354,433065,434009,1,5/30/2017,0943,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,27
45U1422,430102,433382,1,5/30/2017,1524,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,74
45V0271,434620,441230,2,5/31/2017,0725,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,29
45V0514,429559,431566,3,5/31/2017,1048,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,19
45V1173,431416,435239,1,5/31/2017,1609,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,3
45V1564,425848,434400,3,5/31/2017,1800,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,24
4610704,427468,438752,1,6/1/2017,1600,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,11
4610732,425137,434208,1,6/1/2017,1220,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,18
4610951,430062,433712,1,6/1/2017,1310,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,37
4610951,430062,433712,1,6/1/2017,1310,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,30
4611093,430884,434255,2,6/1/2017,1516,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,36
4611280,427300,433624,2,6/1/2017,1440,A647,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Female,39
4611608,434140,433892,2,6/1/2017,1520,A63,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,66
4611667,428588,437458,2,6/1/2017,1930,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,22
4620689,428760,433290,2,6/2/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,70
4620689,428760,433290,2,6/2/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,38
4620689,428760,433290,2,6/2/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,38
4620924,433689,429590,2,6/2/2017,1325,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,8
4620956,430077,433771,1,6/5/2017,1347,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Serious,Male,79
4621068,430386,433618,1,6/2/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Male,51
4630961,432671,437966,2,6/3/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,32
4630961,432671,437966,2,6/3/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,6
